iter	Passed	Remaining
693	143934	21984
694	144130	21775
695	144327	21566
696	144539	21359
697	144722	21148
698	144935	20942
699	145134	20733
700	145317	20522
701	145516	20314
702	145696	20103
703	145852	19888
704	146048	19680
705	146256	19473
706	146448	19264
707	146651	19056
708	146843	18847
709	146980	18631
710	147162	18421
711	147349	18211
712	147550	18004
713	147769	17798
714	147929	17585
715	148099	17374
716	148316	17169
717	148484	16957
718	148698	16751
719	148856	16539
720	149036	16329
721	149276	16126
722	149506	15922
723	149704	15714
724	149914	15508
725	150130	15302
726	150306	15092
727	150509	14885
728	150690	14676
729	150906	14470
730	151119	14264
731	151318	14056
732	151467	13844
733	151585	13630
734	151779	13422
735	151960	13213
736	152150	13006
737	152341	12798
738	152565	12593
739	152819	12390
740	153058	12186
741	153212	11976
742	153433	11770
743	153587	11560
744	153795	11354
745	154138	11157
746	154683	10974
747	155248	10792
748	155818	10609
749	156399	10426
750	157144	10253
751	157835	10074
752	158415	9887
753	159107	9706
754	159654	9515
755	160305	9329
756	161031	9147
757	161682	8958
758	162341	8769
759	163078	8583
760	163821	8395
761	164464	8201
762	165384	8019
763	166159	7829
764	166909	7636
765	167590	7438
766	168252	7239
767	168943	7039
768	169620	6837
769	170365	6637
770	171131	6436
771	171839	6232
772	172646	6030
773	173491	5827
774	174089	5615
775	174891	5409
776	175504	5195
777	175997	4976
778	176808	4766
779	177502	4551
780	178201	4335
781	178749	4114
782	179590	3899
783	180400	3681
784	181090	3460
785	181611	3234
786	182447	3013
787	183175	2789
788	183940	2564
789	184744	2338
790	185503	2110
791	186117	1879
792	186921	1649
793	187735	1418
794	188391	1184
795	188994	949
796	189695	714
797	190323	477
798	190903	238
799	191688	0
